Ind_ID,Gender,Car_Owner,Propert_Owner,Children,Annual_income,Type_Income,Education,Marital_status,Housing_type,Family_Members,Label,Age,Employed_Years,Age_Category
5009744,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,Apartment,2,Rejected,37,1.6,Young
5009752,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,Apartment,2,Rejected,37,1.6,Young
5009754,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,Apartment,2,Rejected,37,1.6,Young
5018498,F,Y,Y,0,90000.0,Working,Secondary Education,Married,Apartment,2,Rejected,51,2.74,Adult
5018503,F,Y,Y,0,90000.0,Working,Secondary Education,Married,Apartment,2,Rejected,51,2.74,Adult
5021310,M,N,Y,0,270000.0,Working,Secondary Education,Married,Apartment,2,Rejected,46,0.68,Adult
5021314,M,N,Y,0,270000.0,Working,Secondary Education,Single,Apartment,2,Rejected,46,0.68,Adult
5021430,F,N,Y,0,126000.0,Commercial associate,Higher education,Single,Apartment,1,Rejected,51,6.76,Adult
5021431,F,N,Y,0,126000.0,Commercial associate,Higher education,Single,Apartment,1,Rejected,51,6.76,Adult
5021998,M,N,Y,0,90000.0,Pensioner,Secondary Education,Married,Apartment,2,Rejected,51,4.5,Adult
5022053,M,N,N,0,202500.0,Working,Higher education,Single,Apartment,1,Rejected,35,11.85,Young
5022617,M,Y,Y,0,202500.0,Commercial associate,Secondary Education,Married,Apartment,2,Rejected,32,4.58,Young
5023781,M,N,Y,0,157500.0,Commercial associate,Higher education,Married,Apartment,2,Rejected,48,2.97,Adult
5023831,F,N,Y,2,112500.0,Commercial associate,Secondary Education,Married,Apartment,4,Rejected,33,2.53,Young
5024071,F,N,Y,0,180000.0,Working,Higher education,Married,Apartment,2,Rejected,43,2.34,Adult
5029028,F,N,Y,0,90000.0,Working,Lower secondary,Single,Rented,2,Rejected,32,13.06,Young
5033453,F,N,N,0,135000.0,Working,Higher education,Single,Apartment,1,Rejected,29,6.55,Young
5033514,F,Y,N,1,135000.0,Working,Secondary Education,Married,Apartment,3,Rejected,43,1.05,Adult
5033916,M,N,Y,0,180000.0,Working,Secondary Education,Married,Apartment,2,Rejected,35,9.98,Young
5036469,M,Y,N,0,112500.0,State servant,Secondary Education,Single,Apartment,2,Rejected,55,4.23,Adult
5036590,M,Y,Y,0,292500.0,Working,Higher education,Married,Apartment,2,Rejected,57,2.21,Adult
5036795,M,Y,Y,0,215100.0,Commercial associate,Secondary Education,Married,Apartment,2,Rejected,52,3.52,Adult
